Height,Weight,Shoes,Strength,Age,IQ,Income,Beer,Wine,Sex,Region
198,92,48,98,48,100,45,420,115,0,-1
184,84,44,92,33,130,33,350,102,0,-1
183,83,44,91,37,127,34,320,98,0,-1
182,80,42,85,35,140,30,398,65,0,-1
180,80,43,84,36,129,30,388,63,0,-1
183,81,42,90,37,105,35,345,45,0,-1
180,82,44,88,43,109,37,355,82,0,-1
180,81,44,86,46,113,42,362,90,0,-1
185,82,45,92,26,109,16,295,180,0,1
187,84,46,95,27,119,"16,5",299,178,0,1
177,65,41,86,26,120,18,209,160,0,1
180,72,43,85,33,115,19,236,175,0,1
181,75,43,83,42,105,31,198,161,0,1
176,68,42,82,50,96,36,195,177,0,1
175,67,42,80,55,105,38,185,187,0,1
178,75,42,81,30,118,24,203,208,0,1
166,47,36,75,32,112,28,270,78,1,-1
170,60,38,81,23,110,20,312,99,1,-1
172,64,39,82,24,102,22,308,91,1,-1
169,51,36,78,24,98,23,250,89,1,-1
168,52,37,78,27,100,"23,5",260,86,1,-1
157,47,36,70,32,127,32,235,92,1,-1
164,50,38,76,41,101,34,255,134,1,-1
162,49,37,75,40,108,34,265,124,1,-1
168,50,37,76,49,135,34,170,162,1,1
166,49,36,75,21,123,14,150,245,1,1
158,46,34,70,30,119,18,120,120,1,1
163,50,36,75,18,102,11,143,136,1,1
162,50,36,74,20,132,"11,5",133,146,1,1
165,51,36,76,36,126,26,121,129,1,1
161,48,35,75,41,120,"31,5",116,196,1,1
160,48,35,74,40,129,31,118,198,1,1
