Nn,C-4G,C-4,C-6G,C-6
c1,TT,1.4,CC,1.1
c2,CT,1.6,CT,0.6
c3,CT,1.4,CC,1.1
c4,CT,1.5,CC,0.7
c5,CT,1.5,CC,0.9
c6,CT,1.4,CC,1.8
c7,CC,1.8,CT,0.8
c8,CT,1.5,CC,0.5
c9,CT,1.4,CT,0.9
c10,CT,1.8,TT,1.9
c11,TT,1.3,CC,1.1
c12,TT,1.3,CC,1.2
c13,CT,1.2,CC,1.3
c14,CT,1.4,TT,1.1
c15,TT,1.5,CC,1.1
c16,CT,1.4,CC,1.1
c17,CT,1.6,CT,0.6
c18,TT,1.6,CT,1.5
c19,CT,1.4,CC,0.3
c20,CT,1.2,CC,0.4
c21,TT,1.4,CC,1.7
c22,TT,1.6,CC,1.1
c23,TT,1.5,CC,0.8
c24,CT,1.4,CC,1.9
c25,CT,1.7,CT,1.3
c26,TT,1.6,CC,1.6
c27,TT,1.6,CC,0.9
c28,CT,1.4,CC,1.4
c29,CT,1.6,TT,1.7
c30,TT,1.7,CC,1.3
c31,TT,1.4,CC,1.1
c32,CT,1.6,CC,0.6
c33,CT,1.4,CC,1.1
c34,CT,1.5,CC,0.7
c35,CT,1.5,CC,0.9
c36,CT,1.4,CC,1.8
c37,CC,1.8,CC,0.8
c38,CT,1.5,CC,0.5
c39,CT,1.4,CC,0.9
c40,CT,1.8,TT,1.9
c41,TT,1.3,CC,1.1
c42,TT,1.3,CC,1.2
c43,CT,1.2,CC,1.3
c44,CT,1.4,CC,1.1
c45,TT,1.5,CC,1.1
c46,CT,1.4,CC,1.1
c47,CT,1.6,CT,0.6
c48,TT,1.6,CT,1.5
c49,CT,1.4,CC,0.3
c50,CT,1.2,CC,0.4
c51,TT,1.4,CC,1.7
c52,TT,1.6,CT,1.1
c53,TT,1.5,CC,0.8
c54,CT,1.4,CC,1.9
c55,CC,1.7,CT,1.3
c56,TT,1.6,CC,1.6
c57,TT,1.6,CC,0.9
c58,CT,1.4,CC,1.4
c59,CC,1.6,CT,1.7
c60,TT,1.7,CT,1.3
a1,CC,8.4,TT,1.2
a2,CC,6.4,CT,3.1
a3,CT,6.7,CT,6.3
a4,CC,7.7,CT,2.4
a5,CT,8.7,CT,0.6
a6,TT,6.4,CT,1.5
a7,CT,6.9,CT,3.5
a8,CT,8.7,CT,5.3
a9,CC,6.4,CT,4.4
a10,CC,6.7,CT,1.7
a11,CC,8.4,TT,2.9
a12,CC,7.7,CT,1.6
a13,CT,9.7,CT,4.7
a14,CC,6.7,CT,1.9
a15,CT,6.7,CT,3.8
a16,CT,4.4,CT,2.4
a17,CC,8.7,CT,1.9
a18,CT,6.4,CT,1.3
a19,CT,7.3,CT,4.9
a20,CC,6.7,CT,1.6
a21,CT,8.7,CT,1.9
a22,CT,4.4,CT,2.6
a23,TT,3.1,CC,2.8
a24,CT,3.4,CC,1.1
a25,CC,6.4,CT,1.1
ar1,TT,8.6,TT,5.1
ar2,TT,7.0,TT,4.6
ar3,CT,4.2,CC,2.9
ar4,CT,3.7,CC,4.7
ar5,CT,6.8,CT,0.9
ar6,CC,7.5,TT,1.8
ar7,CT,4.9,CC,3.8
ar8,CT,5.5,CT,4.5
ar9,CC,7.8,TT,4.2
ar10,CT,6.7,CT,1.9
ar11,CT,5.7,CT,2.1
ar12,CT,7.8,TT,1.2
ar13,CC,6.7,CT,1.3
ar14,TT,8.7,TT,1.1
ar15,CT,7.7,CT,3.1
ar16,CC,4.8,CC,6.3
ar17,CT,6.7,CT,4.6
ar18,CT,7.5,CT,1.5
ar19,CC,7.8,TT,3.3
ar20,CC,5.4,CT,0.4
ar21,CC,5.4,CT,1.7
ar22,CC,7.8,TT,2.9
ar23,CT,6.4,CT,2.4
ar24,CT,5.4,CT,1.9
ar25,CT,6.7,CT,1.3
ar26,CT,6.7,CT,1.6
ar27,CC,8.7,TT,4.9
ar28,CC,8.8,TT,3.8
ar29,CC,5.4,CT,1.7
ar30,CC,8.7,TT,2.3
ar31,CT,4.7,CT,1.9
ar32,CC,6.7,CT,2.6
ar33,CT,6.7,CT,2.8
ar34,CC,6.4,CT,2.1
ar35,CT,7.7,CT,3.6
ar36,CT,6.4,CT,1.2
ar37,CT,6.4,CT,1.1
ar38,CC,4.4,CT,1.1
ar39,TT,5.5,CT,4.6
ar40,CT,4.5,CC,3.5
ar41,CT,4.5,CC,1.1
ar42,CT,6.4,CT,3.9
ar43,CT,5.5,CT,1.8
ar44,CT,4.7,CT,4.8
ar45,CT,6.4,CT,3.5
ar46,CT,9.7,TT,4.2
ar47,CC,5.3,CT,1.9
ar48,CC,4.3,CT,2.1
ar49,CC,6.7,CT,4.9
ar50,CC,6.5,CT,1.3
v1,CC,6.7,TT,2.5
v2,CT,5.4,CT,1.2
v3,CT,6.4,CT,1.1
v4,CC,6.2,CT,1.1
v5,CT,5.1,CT,4.6
v6,CT,3.9,CT,3.5
v7,CC,5.4,CT,1.3
v8,CT,6.4,CT,1.9
v9,CC,7.0,TT,1.8
v10,CC,5.4,CT,0.3
v11,CT,2.4,CC,2.8
v12,TT,3.4,CT,2.5
v13,CT,4.5,CT,0.7
v14,CT,4.1,CT,1.1
v15,CT,3.0,CT,0.9
v16,CC,3.5,CT,1.3
v17,CC,2.1,CT,1.1
v18,CT,1.4,CC,1.9
v19,CC,1.1,CC,2.5
v20,CC,1.4,CT,2.9
v21,CC,1.2,CC,0.9
v22,CT,1.7,CC,1.9
v23,CC,2.1,CT,1.8
v24,CC,1.3,CC,4.9
v25,CT,1.5,CC,2.9
v26,CT,1.9,CC,0.8
v27,CT,1.6,CC,2.1
v28,CT,1.2,CC,1.1
v29,CT,1.4,CT,0.9
v30,CC,0.9,CC,1.3
v31,CC,8.7,TT,1.1
v32,CC,9.7,TT,4.6
v33,CC,7.7,TT,3.5
v34,CC,7.5,TT,1.1
v35,CT,8.7,TT,0.9
v36,CC,8.5,TT,1.8
v37,CT,7.7,TT,0.5
v38,CC,9.7,TT,4.2
v39,TT,8.6,TT,1.9
v40,CC,7.9,TT,2.1
vr1,CC,7.0,TT,1.9
vr2,CT,6.4,CT,1.1
vr3,TT,6.4,CT,1.1
vr4,TT,6.4,CT,2.3
vr5,CT,7.7,TT,2.4
vr6,CT,6.4,CT,3.1
vr7,CT,6.7,CT,3.5
vr8,CC,6.4,CT,1.6
vr9,CT,5.5,CT,2.4
vr10,CT,7.8,TT,1.9
vr11,CT,5.4,CT,1.3
vr12,CT,6.4,CT,0.6
vr13,CC,7.7,CT,3.5
vr14,CC,8.7,TT,1.1
vr15,CT,6.7,CT,0.7
vr16,CC,7.7,TT,1.1
vr17,TT,6.4,CT,4.6
vr18,CT,5.4,CT,3.5
vr19,CT,6.4,CT,1.1
vr20,CT,7.8,TT,0.9
vr21,CT,6.4,CT,2.1
vr22,CT,7.1,TT,0.9
vr23,CC,5.5,CT,0.6
vr24,CC,5.6,CT,1.3
vr25,CC,6.4,CT,1.9
vr26,CT,6.7,CT,1.7
vr27,TT,7.5,TT,2.3
vr28,TT,6.7,CT,1.1
vr29,CT,5.4,CT,3.1
vr30,CT,6.4,CT,1.3
vr31,CT,6.7,TT,1.1
vr32,CT,6.7,TT,2.3
vr33,CT,5.4,CT,1.2
vr34,CT,7.8,TT,1.2
vr35,CT,5.5,CT,1.1
